05|01| 2|   |Egyed                                             |Zsolt                                   |0004819| 1|Jobbik                                                      
05|01| 3|   |Fedor                                             |Vilmos                                  |0004469| 1|MSZP                                                        
05|02| 1|   |Csorba                                            |János                                   |0003150| 1|Jobbik                                                      
05|02| 2|Dr.|Simon                                             |Gábor                                   |0006739| 1|MSZP                                                        
05|02| 3|Dr.|Zsiga                                             |Marcell                                 |0010791| 2|FIDESZ,KDNP                                                 
05|03| 1|   |Káli                                              |Sándor                                  |0006406| 1|MSZP                                                        
05|03| 2|Dr.|Nagy                                              |Kálmán                                  |0009601| 2|FIDESZ,KDNP                                                 
05|03| 3|   |Szabó                                             |Attila                                  |0003868| 1|Jobbik                                                      
05|04| 1|   |Sebestyén                                         |László                                  |0009494| 2|FIDESZ,KDNP                                                 
05|04| 2|   |Sztancsik                                         |Barnabás                                |0003829| 1|Jobbik                                                      
05|04| 3|Dr.|Tompa                                             |Sándor                                  |0006271| 1|MSZP                                                        
05|05| 1|   |Kisgergely                                        |András                                  |0005617| 1|Jobbik                                                      
05|05| 2|   |Riz                                               |Gábor                                   |0008073| 2|FIDESZ,KDNP                                                 
05|05| 3|Dr.|Tóth                                              |István                                  |0002858| 1|MSZP                                                        
05|06| 1|   |Bencs                                             |Gábor                                   |0004218| 1|Jobbik                                                      
05|06| 2|   |Demeter                                           |Zoltán                                  |0007951| 2|FIDESZ,KDNP                                                 
05|06| 3|Dr.|Varga                                             |László                                  |0003389| 1|MSZP                                                        
05|07| 1|   |Endrésik                                          |Zsolt                                   |0004873| 1|Jobbik                                                      
05|07| 2|   |Szitka                                            |Péter                                   |0005952| 1|MSZP                                                        
05|07| 3|   |Tamás                                             |Barnabás                                |0008203| 2|FIDESZ,KDNP                                                 
05|08| 1|Dr.|Daher                                             |Pierre                                  |0007779| 2|FIDESZ,KDNP                                                 
05|08| 2|   |Gúr                                               |Nándor                                  |0003324| 1|MSZP                                                        
05|08| 4|   |Molnár                                            |Oszkár                                  |0008142| 0|Független jelölt                                            
05|11| 1|   |Ficsor                                            |Ádám                                    |0003440| 1|MSZP                                                        
05|11| 2|   |Holcman                                           |László                                  |0005428| 1|Jobbik                                                      
05|11| 3|   |Koncz                                             |Ferenc                                  |0012382| 2|FIDESZ,KDNP                                                 
05|12| 1|   |Balla                                             |Gergõ                                   |0006046| 1|Jobbik                                                      
05|12| 2|   |Kovács                                            |Tibor                                   |0004319| 1|MSZP                                                        
05|12| 3|Dr.|Mengyi                                            |Roland                                  |0011235| 2|FIDESZ,KDNP                                                 
06|01| 1|   |Bodó                                              |Imre                                    |0013524| 2|FIDESZ,KDNP                                                 
06|01| 2|Dr.|Ujhelyi                                           |István                                  |0010688| 1|MSZP                                                        
06|01| 3|   |Zagyva                                            |György Gyula                            |0001199| 1|Jobbik                                                      
06|03| 1|Dr.|Bohács                                            |Zsolt József                            |0014021| 2|FIDESZ,KDNP                                                 
06|03| 2|Dr.|Botka                                             |László                                  |0012122| 1|MSZP                                                        
06|03| 3|   |Molnár                                            |Áron                                    |0001769| 1|Jobbik                                                      
06|07| 1|Dr.|Buzás                                             |Péter                                   |0005777| 1|MSZP                                                        
06|07| 2|   |Fazekas                                           |Ferenc                                  |0002237| 1|Jobbik                                                      
06|07| 3|   |Mágori                                            |Józsefné                                |0009113| 2|FIDESZ,KDNP                                                 
07|01| 1|Dr.|Cser-Palkovics                                    |András                                  |0011117| 2|FIDESZ,KDNP                                                 
07|01| 2|   |Knizse                                            |Gyula                                   |0005440| 1|MSZP                                                        
07|01| 3|Dr.|Kummer                                            |Ákos                                    |0001679| 1|Jobbik                                                      
07|03| 1|Dr.|Dorkota                                           |Lajos                                   |0009872| 2|FIDESZ,KDNP                                                 
07|03| 2|Dr.|Kálmán                                            |András                                  |0005479| 1|MSZP                                                        
07|03| 3|   |Pintér                                            |Tamás                                   |0002591| 1|Jobbik                                                      
10|03| 1|   |Balázs                                            |József                                  |0012226| 2|FIDESZ,KDNP                                                 
10|03| 2|Dr.|Magda                                             |Sándor                                  |0009121| 1|MSZP                                                        
10|03| 3|   |Vona                                              |Gábor                                   |0005460| 1|Jobbik                                                      
10|04| 1|   |Érsek                                             |Zsolt                                   |0004560| 1|MSZP                                                        
10|04| 2|Dr.|Nyujtó                                            |Zsolt                                   |0004886| 1|Jobbik                                                      
10|04| 3|   |Szabó                                             |Zsolt                                   |0010267| 2|FIDESZ,KDNP                                                 
10|05| 1|Dr.|Árvai                                             |György                                  |0004999| 1|Jobbik                                                      
10|05| 2|   |Godó                                              |Lajos                                   |0002439| 1|MSZP                                                        
10|05| 3|Dr.|Tóth                                              |József                                  |0008299| 2|FIDESZ,KDNP                                                 
10|06| 1|   |Herman                                            |István                                  |0008796| 3|FIDESZ,KDNP,Vállalkozók Pártja                              
10|06| 2|   |Korózs                                            |Lajos                                   |0002702| 1|MSZP                                                        
10|06| 3|   |Mirkóczki                                         |Ádám                                    |0003713| 1|Jobbik                                                      
11|01| 1|Dr.|Gedei                                             |József                                  |0004291| 1|MSZP                                                        
11|01| 2|   |Murányi                                           |Levente                                 |0002373| 1|Jobbik                                                      
11|01| 3|Dr.|Szabó                                             |Tamás                                   |0009259| 2|FIDESZ,KDNP                                                 
11|03| 1|   |Baráth                                            |Zsolt                                   |0004120| 1|Jobbik                                                      
11|03| 2|   |Csák                                              |László                                  |0004239| 1|MSZP                                                        
11|03| 3|   |Szalay                                            |Ferenc                                  |0012360| 2|FIDESZ,KDNP                                                 
11|04| 1|   |Iváncsik                                          |Imre                                    |0005765| 1|MSZP                                                        
11|04| 2|   |Jánosiné Dr. Bene                                 |Ildikó                                  |0012015| 2|FIDESZ,KDNP                                                 
11|04| 3|   |Kalóczkai                                         |Sándor                                  |0003804| 1|Jobbik                                                      
11|05| 1|   |Sági                                              |István                                  |0008040| 2|FIDESZ,KDNP                                                 
11|05| 2|   |Soós                                              |Antal                                   |0002699| 1|Jobbik                                                      
11|05| 3|   |Tokajiné Demecs                                   |Katalin                                 |0002936| 1|MSZP                                                        
11|06| 1|   |Boldog                                            |István                                  |0008389| 2|FIDESZ,KDNP                                                 
11|06| 2|   |Csányi                                            |Tamás                                   |0003687| 1|Jobbik                                                      
11|06| 3|   |Rózsa                                             |Endre                                   |0002799| 1|MSZP                                                        
11|07| 1|   |Fejér                                             |Andor                                   |0010481| 2|FIDESZ,KDNP                                                 
11|07| 2|Dr.|Nagy                                              |Levente                                 |0004914| 1|Jobbik                                                      
11|07| 3|   |Serfõzõ                                           |István                                  |0002591| 1|MSZP                                                        
12|01| 1|   |Bencsik                                           |János                                   |0013077| 2|FIDESZ,KDNP                                                 
12|01| 2|   |Kilián                                            |Géza                                    |0009026| 1|MSZP                                                        
12|01| 3|   |Vágó                                              |Sebestyén                               |0001791| 1|Jobbik                                                      
12|05| 1|   |Balog                                             |János                                   |0003492| 1|Jobbik                                                      
12|05| 2|   |Meggyes                                           |Tamás                                   |0012362| 2|FIDESZ,KDNP                                                 
12|05| 3|   |Winkfein                                          |Csaba                                   |0006346| 1|MSZP                                                        
13|01| 1|   |Bagó                                              |László                                  |0003210| 1|Jobbik                                                      
13|01| 2|   |Boldvai                                           |László                                  |0006199| 1|MSZP                                                        
13|01| 3|   |Székyné Dr. Sztrémi                               |Melinda                                 |0009383| 2|FIDESZ,KDNP                                                 
14|02| 1|   |Bábiné Szottfried                                 |Gabriella                               |0011610| 2|FIDESZ,KDNP                                                 
14|02| 2|   |Bethlen                                           |Farkas                                  |0004310| 0|                                                            
14|02| 3|Dr.|Jakab                                             |Zoltán Attila                           |0006377| 1|MSZP                                                        
14|12| 1|   |Hoffman                                           |Pál                                     |0020342| 2|FIDESZ,KDNP                                                 
14|12| 2|   |Lévai                                             |György                                  |0003191| 1|Jobbik                                                      
14|12| 3|   |Varju                                             |László                                  |0008595| 1|MSZP                                                        
16|01| 1|   |Jeszenszki                                        |András                                  |0006557| 1|MSZP                                                        
16|01| 2|Dr.|Kovács                                            |Ferenc                                  |0012649| 2|FIDESZ,KDNP                                                 
16|01| 3|Dr.|Sztankó                                           |Éva                                     |0003791| 1|Jobbik                                                      
16|02| 1|Dr.|Gyüre                                             |Csaba                                   |0004854| 1|Jobbik                                                      
16|02| 2|   |Tukacs                                            |István                                  |0004897| 1|MSZP                                                        
16|02| 3|Dr.|Vinnai                                            |Gyõzõ                                   |0013532| 2|FIDESZ,KDNP                                                 
16|03| 1|   |Császár                                           |József                                  |0007345| 1|Jobbik                                                      
16|03| 2|   |Juhász                                            |Ferenc                                  |0002426| 1|MSZP                                                        
16|03| 3|Dr.|Karakó                                            |László                                  |0009993| 2|FIDESZ,KDNP                                                 
