02|BARANYA|090|HÁSSÁGY|256|0|0|256|0|170|170|0|14|156|342
02|BARANYA|092|HEGYSZENTMÁRTON|397|0|0|397|0|199|198|-1|113|85|170
02|BARANYA|094|HETVEHELY|415|0|0|415|0|283|283|0|49|234|543
02|BARANYA|095|HIDAS|1940|2|0|1942|0|915|883|-32|0|883|493
02|BARANYA|096|HIMESHÁZA|1007|0|0|1007|0|637|637|0|33|604|1415
02|BARANYA|101|HOSSZÚHETÉNY|2516|0|0|2516|0|772|771|-1|392|379|1011
02|BARANYA|106|IVÁNBATTYÁN|132|0|0|132|0|118|118|0|23|95|191
02|BARANYA|112|KÁSÁD|313|0|0|313|0|240|240|0|27|213|492
02|BARANYA|113|KÁTOLY|314|0|0|314|0|221|221|0|11|210|463
02|BARANYA|120|KISASSZONYFA|171|0|0|171|0|157|157|0|34|123|300
02|BARANYA|122|KISBUDMÉR|93|0|0|93|0|72|72|0|24|48|79
02|BARANYA|128|KISJAKABFALVA|149|0|0|149|0|125|125|0|28|97|248
02|BARANYA|129|KISKASSA|241|0|0|241|0|207|205|-2|84|121|195
02|BARANYA|132|KISSZENTMÁRTON|213|0|0|213|0|176|176|0|56|120|165
02|BARANYA|133|KISTAMÁSI|108|0|0|108|0|78|78|0|34|44|105
02|BARANYA|136|KISVASZAR|260|0|0|260|0|179|178|-1|81|97|173
02|BARANYA|137|KOMLÓ|22637|5|1|22641|2|7988|7962|-26|3393|4569|8583
02|BARANYA|140|KOZÁRMISLENY|2941|0|0|2941|0|1296|1295|-1|516|779|2667
02|BARANYA|143|KÖKÉNY|412|0|0|412|0|271|271|0|34|237|613
02|BARANYA|144|KÖLKED|869|1|0|870|0|643|643|0|351|292|625
02|BARANYA|145|KÕVÁGÓSZÕLÕS|987|0|0|987|0|619|617|-2|180|437|871
02|BARANYA|146|KÕVÁGÓTÕTTÕS|249|1|0|250|0|189|189|0|37|152|326
02|BARANYA|148|LÁNYCSÓK|2148|2|0|2150|0|1158|1136|-22|451|685|2066
02|BARANYA|149|LIGET|352|0|0|352|0|222|221|-1|150|71|138
02|BARANYA|150|LIPPÓ|501|0|0|501|0|288|287|-1|13|274|605
02|BARANYA|151|LIPTÓD|216|0|0|216|0|170|170|0|18|152|366
02|BARANYA|154|LÚZSOK|147|0|0|147|0|133|133|0|24|109|189
02|BARANYA|158|MAGYARLUKAFA|85|0|0|85|0|63|60|-3|37|23|63
02|BARANYA|159|MAGYARMECSKE|241|0|0|241|0|183|183|0|36|147|241
02|BARANYA|163|MAJS|926|0|0|926|0|369|68|-301|27|41|64
02|BARANYA|170|MÁNFA|659|1|0|660|0|470|470|0|84|386|849
02|BARANYA|171|MÁRFA|163|2|0|165|0|150|149|-1|54|95|165
02|BARANYA|173|MÁROK|446|0|0|446|0|311|311|0|13|298|722
02|BARANYA|168|MATTY|314|0|0|314|0|218|218|0|178|40|67
02|BARANYA|178|MERENYE|277|0|0|277|0|200|199|-1|171|28|38
02|BARANYA|181|MOHÁCS|15823|8|0|15831|0|6936|6698|-238|2278|4420|10131
02|BARANYA|185|NAGYBUDMÉR|189|0|0|189|0|162|156|-6|92|64|106
02|BARANYA|186|NAGYCSÁNY|123|0|0|123|0|106|106|0|51|55|113
02|BARANYA|187|NAGYDOBSZA|510|0|0|510|0|335|334|-1|73|261|536
02|BARANYA|191|NAGYNYÁRÁD|725|0|0|725|0|589|584|-5|147|437|923
02|BARANYA|192|NAGYPALL|357|0|0|357|0|201|201|0|15|186|506
02|BARANYA|197|NYUGOTSZENTERZSÉBET|164|0|0|164|0|131|67|-64|9|58|113
02|BARANYA|204|ÓBÁNYA|132|0|0|132|0|110|110|0|35|75|179
02|BARANYA|200|OLASZ|504|0|0|504|0|335|335|0|16|319|694
02|BARANYA|201|OLD|274|0|0|274|0|215|215|0|112|103|154
02|BARANYA|207|ÓZDFALU|137|0|0|137|0|122|122|0|34|88|160
02|BARANYA|211|PATAPOKLOSI|296|0|0|296|0|196|196|0|42|154|379
02|BARANYA|217|PÉCS|130666|30|0|130696|16|45618|38484|-7134|19977|18507|46474
02|BARANYA|220|PÉCSUDVARD|498|0|0|498|0|277|269|-8|44|225|457
02|BARANYA|221|PÉCSVÁRAD|3226|1|0|3227|0|1397|1124|-273|245|879|2735
02|BARANYA|216|PETTEND|107|0|0|107|0|104|104|0|61|43|58
