002| 24|BUDAPEST II.ker.         |   1086|      0|      0|   1086|      0|    755|    755|      0|      4|    751|
002| 25|BUDAPEST II.ker.         |    873|      0|      0|    873|      0|    603|    603|      0|      0|    603|
002| 26|BUDAPEST II.ker.         |    710|      1|      0|    711|      0|    508|    508|      0|      2|    506|
002| 27|BUDAPEST II.ker.         |    891|      0|      0|    891|      0|    643|    643|      0|      4|    639|
002| 28|BUDAPEST II.ker.         |    889|      0|      0|    889|      0|    633|    633|      0|      1|    632|
002| 29|BUDAPEST II.ker.         |    892|      1|      0|    893|      0|    635|    635|      0|      1|    634|
002| 30|BUDAPEST II.ker.         |    701|      3|      0|    704|      0|    490|    490|      0|      1|    489|
002| 31|BUDAPEST II.ker.         |   1004|      1|      0|   1005|      1|    638|    637|     -1|      1|    636|
002| 32|BUDAPEST II.ker.         |   1113|      1|      0|   1114|      1|    731|    728|     -3|      3|    725|
002| 33|BUDAPEST II.ker.         |   1158|      0|      0|   1158|      3|    789|    789|      0|      4|    785|
002| 34|BUDAPEST II.ker.         |   1011|      0|      0|   1011|      0|    685|    685|      0|      3|    682|
002| 35|BUDAPEST II.ker.         |    835|      1|      0|    836|      0|    573|    572|     -1|      1|    571|
002| 36|BUDAPEST II.ker.         |   1025|      0|      0|   1025|      7|    723|    723|      0|      2|    721|
002| 37|BUDAPEST II.ker.         |   1133|      3|      0|   1136|      0|    785|    783|     -2|      3|    780|
002| 38|BUDAPEST II.ker.         |    983|      1|      0|    984|      0|    700|    697|     -3|      5|    692|
002| 39|BUDAPEST II.ker.         |   1114|      1|      0|   1115|      0|    796|    796|      0|      2|    794|
002| 40|BUDAPEST II.ker.         |   1106|      1|      0|   1107|      0|    759|    757|     -2|      1|    756|
002| 41|BUDAPEST II.ker.         |   1053|      0|      0|   1053|      1|    718|    718|      0|      4|    714|
002| 42|BUDAPEST II.ker.         |   1081|      0|      0|   1081|      0|    668|    667|     -1|      4|    663|
002| 43|BUDAPEST II.ker.         |   1048|      3|      0|   1051|      0|    697|    695|     -2|      3|    692|
