07| 3|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0013465|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
07| 4|Magyar Kommunista Munkáspárt                                                                |0001489|01|MUNKÁSPÁRT                                                  
07| 5|MIÉP-Jobbik a Harmadik Út                                                                   |0004294|01|MIÉP-Jobbik                                                 
07| 6|MAGYAR SZOCIALISTA PÁRT                                                                     |0098202|01|MSZP                                                        
07| 7|Fidesz-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0097199|02|FIDESZ,KDNP                                                 
08| 1|MIÉP-Jobbik a Harmadik Út                                                                   |0004775|01|MIÉP-Jobbik                                                 
08| 2|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0012198|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
08| 3|MAGYAR DEMOKRATA FÓRUM                                                                      |0013957|01|MDF                                                         
08| 4|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0001346|01|MUNKÁSPÁRT                                                  
08| 5|  MAGYAR SZOCIALISTA PÁRT                                                                   |0093360|01|MSZP                                                        
08| 6|MAGYAR VIDÉK ÉS POLGÁRI PÁRT                                                                |0000538|01|MVPP                                                        
08| 7|KERESZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                             |0000381|01|KERESZTÉNYDEMOKRATAPÁRT                                     
08| 8|FIDESZ-MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT                                 |0121603|02|FIDESZ,KDNP                                                 
09| 1|FIDESZ-MAGYARPOLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT                                  |0131592|02|FIDESZ,KDNP                                                 
09| 2|MAGYAR VIDÉK ÉS POLGÁRI PÁRT                                                                |0000413|01|MVPP                                                        
09| 3|MIÉP-JOBBIK A HARMADIK ÚT                                                                   |0005628|01|MIÉP-Jobbik                                                 
09| 4|ZÖLDEK PÁRTJA                                                                               |0000820|01|ZÖLDEK PÁRTJA                                               
