01|14| 1|   |Arató                                             |Gergely László                          |0015604|01|MSZP                                                        
01|14| 2|Dr.|György                                            |István                                  |0010474|02|FIDESZ,KDNP                                                 
01|14| 3|   |Gyõri                                             |Dénes                                   |0001944|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|14| 4|   |Kajli                                             |Béla                                    |0000268|01|MUNKÁSPÁRT                                                  
01|14| 5|   |Kalapos                                           |Zsolt                                   |0001067|01|MDF                                                         
01|15| 1|Dr.|Csapody                                           |Miklós                                  |0002858|01|MDF                                                         
01|15| 2|   |Deák                                              |András                                  |0011315|02|FIDESZ,KDNP                                                 
01|15| 3|   |Farkas                                            |Ferenc                                  |0000147|01|MUNKÁSPÁRT                                                  
01|15| 4|   |Lakos                                             |Imre                                    |0002949|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|15| 5|Dr.|Mestyanek                                         |Ödön                                    |0000643|01|MIÉP-Jobbik                                                 
01|15| 6|   |Szabó                                             |Vilmos                                  |0008264|01|MSZP                                                        
01|16| 1|Dr.|Fenyvessy                                         |Zoltán                                  |0001114|01|MIÉP-Jobbik                                                 
01|16| 2|   |John                                              |Emese                                   |0002421|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|16| 3|   |Kristóf                                           |József                                  |0011044|02|FIDESZ,KDNP                                                 
01|16| 4|   |Molnár                                            |Gyula                                   |0015822|01|MSZP                                                        
01|16| 5|   |Szõke                                             |László                                  |0001556|01|MDF                                                         
01|17| 1|Dr.|Bõhm                                              |András Henrik                           |0002834|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|17| 2|Dr.|Józsa                                             |István                                  |0011272|01|MSZP                                                        
01|17| 3|Dr.|Kupper                                            |András                                  |0011361|02|FIDESZ,KDNP                                                 
01|17| 4|   |Medveczky                                         |Ádám                                    |0000996|01|MIÉP-Jobbik                                                 
01|17| 5|   |Szegedi                                           |Ferenc                                  |0001397|01|MDF                                                         
01|18| 1|   |Hagyó                                             |Miklós                                  |0012572|01|MSZP                                                        
01|18| 2|   |Nagy                                              |Ervin                                   |0001205|01|MIÉP-Jobbik                                                 
01|18| 3|   |Pokorni                                           |Zoltán                                  |0019425|02|FIDESZ,KDNP                                                 
01|18| 4|Dr.|Salamin                                           |András                                  |0002105|01|MDF                                                         
01|18| 5|   |Ungár                                             |Klára                                   |0005316|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
