01|16| 4|   |Szabó                                             |Gábor                                   |0002332| 1|Jobbik                                                      
01|17| 1|Dr.|Bajomi                                            |Iván                                    |0003531| 1|LEHET MÁS A POLITIKA                                        
01|17| 2|Dr.|Józsa                                             |István                                  |0007363| 1|MSZP                                                        
01|17| 3|Dr.|Kupper                                            |András                                  |0013104| 2|FIDESZ,KDNP                                                 
01|17| 4|   |Novák                                             |Elõd                                    |0002025| 1|Jobbik                                                      
01|18| 1|Dr.|Katona                                            |Tamás                                   |0007862| 1|MSZP                                                        
01|18| 2|   |Martinez                                          |Gábor                                   |0002274| 1|Jobbik                                                      
01|18| 3|   |Pokorni                                           |Zoltán                                  |0020789| 2|FIDESZ,KDNP                                                 
01|18| 4|   |Sipos                                             |Péter                                   |0004668| 1|LEHET MÁS A POLITIKA                                        
01|18| 5|   |Slosár                                            |Gábor                                   |0001462| 1|MDF                                                         
01|19| 1|   |Kovács                                            |Bertalan Tamás                          |0002222| 1|Jobbik                                                      
01|19| 2|Dr.|Szalay                                            |Péter                                   |0010673| 2|FIDESZ,KDNP                                                 
01|19| 3|Dr.|Szanyi                                            |Tibor                                   |0010244| 1|MSZP                                                        
01|19| 4|   |Tarján                                            |András                                  |0000996| 2|MDF,SZDSZ                                                   
01|19| 5|   |Tordai                                            |Bence                                   |0003709| 1|LEHET MÁS A POLITIKA                                        
01|20| 1|   |Csender                                           |Tamás                                   |0002384| 1|Jobbik                                                      
01|20| 2|   |Spaller                                           |Endre                                   |0009742| 2|FIDESZ,KDNP                                                 
01|20| 4|Dr.|Tóth                                              |József                                  |0011976| 1|MSZP                                                        
01|20| 5|   |Vári                                              |György                                  |0002683| 1|LEHET MÁS A POLITIKA                                        
01|21| 1|Dr.|Bárándy                                           |Gergely                                 |0009364| 1|MSZP                                                        
01|21| 2|Dr.|Gyenes                                            |Géza                                    |0003173| 1|Jobbik                                                      
01|21| 3|Dr.|Papcsák                                           |Ferenc                                  |0015529| 2|FIDESZ,KDNP                                                 
01|21| 4|   |Várnai                                            |László Sándor                           |0005336| 1|LEHET MÁS A POLITIKA                                        
01|22| 1|   |Czeglédi                                          |János                                   |0003115| 1|Jobbik                                                      
01|22| 2|   |Hámori                                            |Zsolt                                   |0005150| 1|LEHET MÁS A POLITIKA                                        
01|22| 3|   |Kulcsár                                           |József Ferenc                           |0014556| 2|FIDESZ,KDNP                                                 
01|22| 4|   |Tóth                                              |Csaba                                   |0010460| 1|MSZP                                                        
01|23| 1|Dr.|Gaudi-Nagy                                        |Tamás                                   |0004127| 1|Jobbik                                                      
01|23| 2|Dr.|Hetyei                                            |László Antal                            |0010810| 1|MSZP                                                        
01|23| 3|   |László                                            |Tamás                                   |0013877| 2|FIDESZ,KDNP                                                 
01|24| 1|   |Fejér                                             |László Elõd                             |0001368| 1|MDF                                                         
01|24| 2|   |Kovács                                            |Péter                                   |0022381| 2|FIDESZ,KDNP                                                 
01|24| 3|   |Szabó                                             |Barbara                                 |0004782| 1|LEHET MÁS A POLITIKA                                        
01|24| 4|   |Vas                                               |Zoltán                                  |0004653| 1|Jobbik                                                      
01|24| 5|Dr.|Vidorné Dr. Szabó                                 |Györgyi Mária                           |0009152| 1|MSZP                                                        
