02|BARANYA   |223|PISKÓ               |00000186|00000003|00000000|00000189|00000141|00000140|00000001|00000023|00000117|00000000252
02|BARANYA   |232|SÁSD                |00002903|00000000|00000000|00002903|00001290|00000986|00000304|00000263|00000723|00000001429
02|BARANYA   |234|SELLYE              |00002497|00000000|00000000|00002497|00001071|00000978|00000093|00000160|00000818|00000001880
02|BARANYA   |235|SIKLÓS              |00008455|00000002|00000000|00008457|00003737|00003631|00000106|00001313|00002318|00000003321
02|BARANYA   |237|SIKLÓSNAGYFALU      |00000260|00000000|00000000|00000260|00000203|00000203|00000000|00000078|00000125|00000000313
02|BARANYA   |246|SZAJK               |00000611|00000000|00000000|00000611|00000310|00000239|00000071|00000000|00000239|00000000480
02|BARANYA   |248|SZALÁNTA            |00000833|00000000|00000000|00000833|00000467|00000465|00000002|00000078|00000387|00000000807
02|BARANYA   |253|SZÁSZVÁR            |00002242|00000000|00000000|00002242|00001258|00001255|00000003|00000493|00000762|00000001843
02|BARANYA   |269|SZŐKÉD              |00000276|00000000|00000000|00000276|00000208|00000106|00000102|00000039|00000067|00000000096
02|BARANYA   |271|SZŰR                |00000279|00000000|00000000|00000279|00000152|00000152|00000000|00000018|00000134|00000000326
02|BARANYA   |284|ÚJPETRE             |00000851|00000000|00000000|00000851|00000410|00000409|00000001|00000044|00000365|00000000879
02|BARANYA   |292|VELÉNY              |00000125|00000000|00000000|00000125|00000105|00000104|00000001|00000039|00000065|00000000152
02|BARANYA   |293|VERSEND             |00000655|00000000|00000001|00000654|00000330|00000330|00000000|00000042|00000288|00000000616
02|BARANYA   |296|VILLÁNY             |00002207|00000000|00000000|00002207|00001307|00001304|00000003|00000203|00001101|00000004034
03|BÁCS-KISK.|004|BAJA                |00030824|00000011|00000000|00030835|00010260|00010201|00000059|00004978|00005223|00000012623
03|BÁCS-KISK.|007|BÁCSALMÁS           |00006422|00000002|00000000|00006424|00003175|00003154|00000021|00001341|00001813|00000004543
03|BÁCS-KISK.|008|BÁCSBOKOD           |00002552|00000000|00000000|00002552|00001325|00001310|00000015|00000424|00000886|00000002604
03|BÁCS-KISK.|010|BÁCSSZENTGYÖRGY     |00000206|00000000|00000000|00000206|00000166|00000165|00000001|00000084|00000081|00000000159
03|BÁCS-KISK.|022|CSIKÉRIA            |00000813|00000001|00000000|00000814|00000511|00000511|00000000|00000091|00000420|00000000947
03|BÁCS-KISK.|031|DUSNOK              |00002659|00000003|00000000|00002662|00001572|00001570|00000002|00000550|00001020|00000002754
03|BÁCS-KISK.|041|GARA                |00002120|00000000|00000000|00002120|00000981|00000978|00000003|00000273|00000705|00000002747
03|BÁCS-KISK.|048|HERCEGSZÁNTÓ        |00002060|00000000|00000000|00002060|00001010|00001007|00000003|00000313|00000694|00000001938
03|BÁCS-KISK.|055|KALOCSA             |00014028|00000008|00000001|00014035|00006471|00001372|00005099|00000722|00000650|00000001566
03|BÁCS-KISK.|057|KATYMÁR             |00001972|00000001|00000000|00001973|00001088|00001083|00000005|00000299|00000784|00000001898
03|BÁCS-KISK.|058|KECEL               |00007259|00000001|00000000|00007260|00002644|00002630|00000014|00001794|00000836|00000002065
03|BÁCS-KISK.|059|KECSKEMÉT           |00081428|00000028|00000012|00081444|00022558|00021612|00000946|00011486|00010126|00000018788
03|BÁCS-KISK.|063|KISKŐRÖS            |00011931|00000002|00000000|00011933|00004318|00003507|00000811|00002045|00001462|00000002195
03|BÁCS-KISK.|064|KISKUNFÉLEGYHÁZA    |00026404|00000012|00000000|00026416|00009307|00008830|00000477|00006165|00002665|00000003737
03|BÁCS-KISK.|065|KISKUNHALAS         |00023268|00000030|00000001|00023297|00008028|00007443|00000585|00003647|00003796|00000005416
03|BÁCS-KISK.|066|KISKUNMAJSA         |00009567|00000000|00000000|00009567|00004315|00004287|00000028|00002616|00001671|00000003232
03|BÁCS-KISK.|070|KUNBAJA             |00001543|00000001|00000000|00001544|00001110|00001109|00000001|00000203|00000906|00000003401
03|BÁCS-KISK.|077|LAJOSMIZSE          |00008798|00000006|00000000|00008804|00003586|00003529|00000057|00001821|00001708|00000002776
03|BÁCS-KISK.|081|MÉLYKÚT             |00004902|00000002|00000000|00004904|00001884|00001874|00000010|00001161|00000713|00000001627
03|BÁCS-KISK.|097|SOLTVADKERT         |00005980|00000000|00000000|00005980|00002555|00000633|00001922|00000040|00000593|00000000870
03|BÁCS-KISK.|098|SÜKÖSD              |00003189|00000001|00000000|00003190|00001120|00001119|00000001|00000511|00000608|00000001477
03|BÁCS-KISK.|099|SZABADSZÁLLÁS       |00005214|00000001|00000000|00005215|00002365|00002347|00000018|00001834|00000513|00000000939
03|BÁCS-KISK.|115|VASKÚT              |00003034|00000000|00000000|00003034|00001436|00001435|00000001|00000449|00000986|00000002861
04|BÉKÉS     |001|ALMÁSKAMARÁS        |00000926|00000000|00000000|00000926|00000430|00000429|00000001|00000059|00000370|00000000851
04|BÉKÉS     |002|BATTONYA            |00005501|00000001|00000001|00005501|00001669|00001646|00000023|00000591|00001055|00000003198
04|BÉKÉS     |003|BÉKÉS               |00017102|00000000|00000000|00017102|00006103|00006037|00000066|00003694|00002343|00000003957
04|BÉKÉS     |004|BÉKÉSCSABA          |00053030|00000013|00000005|00053038|00015706|00014505|00001201|00006166|00008339|00000020718
04|BÉKÉS     |011|CSABASZABADI        |00000375|00000000|00000000|00000375|00000251|00000251|00000000|00000047|00000204|00000000484
04|BÉKÉS     |016|DOBOZ               |00003644|00000002|00000000|00003646|00001620|00001608|00000012|00000822|00000786|00000001672
04|BÉKÉS     |020|ELEK                |00004181|00000005|00000000|00004186|00001801|00001792|00000009|00000725|00001067|00000003249
04|BÉKÉS     |021|FÜZESGYARMAT        |00005053|00000002|00000000|00005055|00002264|00002252|00000012|00001113|00001139|00000003643
04|BÉKÉS     |022|GÁDOROS             |00003520|00000000|00000000|00003520|00001752|00001739|00000013|00001016|00000723|00000001038
04|BÉKÉS     |025|GYOMAENDRŐD         |00012935|00000004|00000001|00012938|00004933|00004887|00000046|00002410|00002477|00000003500
04|BÉKÉS     |026|GYULA               |00026412|00000040|00000003|00026449|00008670|00008614|00000056|00003510|00005104|00000012197
04|BÉKÉS     |034|KÉTEGYHÁZA          |00003415|00000001|00000000|00003416|00001733|00001725|00000008|00000430|00001295|00000004563
04|BÉKÉS     |041|KÖRÖSÚJFALU         |00000562|00000000|00000000|00000562|00000286|00000284|00000002|00000155|00000129|00000000138
04|BÉKÉS     |044|LÖKÖSHÁZA           |00001671|00000000|00000000|00001671|00000863|00000858|00000005|00000451|00000407|00000000612
04|BÉKÉS     |049|MEZŐBERÉNY          |00008866|00000001|00000000|00008867|00004057|00003758|00000299|00001351|00002407|00000005868
04|BÉKÉS     |050|MEZŐGYÁN            |00001136|00000000|00000000|00001136|00000647|00000646|00000001|00000212|00000434|00000001233
04|BÉKÉS     |053|MÉHKERÉK            |00001870|00000000|00000000|00001870|00001265|00001265|00000000|00000106|00001159|00000005053
