01|BUDAPEST  |004|BUDAPEST          04|00000002|CIGÁNY                        |00035572|02|    CSÓKA JÁNOS PÁL                     |010077|ÚJPESTI SZOCIALISTA ROMÁK     |1|nyert                         |00000935
01|BUDAPEST  |004|BUDAPEST          04|00000002|CIGÁNY                        |00036746|03|    GICZY BÉLA                          |010077|ÚJPESTI SZOCIALISTA ROMÁK     |1|nyert                         |00000767
01|BUDAPEST  |004|BUDAPEST          04|00000002|CIGÁNY                        |00044573|04|    SZŰCS SÁNDOR                        |010077|ÚJPESTI SZOCIALISTA ROMÁK     |1|nyert                         |00000655
01|BUDAPEST  |004|BUDAPEST          04|00000002|CIGÁNY                        |00051960|05|DR. TÖRÖK ZOLTÁN                        |010077|ÚJPESTI SZOCIALISTA ROMÁK     |1|nyert                         |00001322
01|BUDAPEST  |004|BUDAPEST          04|00000004|HORVÁT                        |00070684|01|    BURKA SÁNDORNÉ                      |000000|FÜGGETLEN                     |1|nyert                         |00000721
01|BUDAPEST  |004|BUDAPEST          04|00000004|HORVÁT                        |00067481|02|    GÁL ISTVÁNNÉ                        |000000|FÜGGETLEN                     |1|nyert                         |00000541
01|BUDAPEST  |004|BUDAPEST          04|00000004|HORVÁT                        |00002440|03|    MILISITS ERNŐ                       |000000|FÜGGETLEN                     |1|nyert                         |00000524
01|BUDAPEST  |004|BUDAPEST          04|00000004|HORVÁT                        |00047104|04|    SIMONITS LAJOS                      |000000|FÜGGETLEN                     |1|nyert                         |00000477
01|BUDAPEST  |004|BUDAPEST          04|00000004|HORVÁT                        |00073790|05|    VIRÁG SÁNDORNÉ                      |000000|FÜGGETLEN                     |1|nyert                         |00000555
01|BUDAPEST  |004|BUDAPEST          04|00000006|NÉMET                         |00062299|01|    BALÁZSNÉ GRÄFF MAGDOLNA             |000000|FÜGGETLEN                     |1|nyert                         |00004700
01|BUDAPEST  |004|BUDAPEST          04|00000006|NÉMET                         |00060111|02|    CSIKÓS KRISZTIÁN                    |000000|FÜGGETLEN                     |1|nyert                         |00003089
01|BUDAPEST  |004|BUDAPEST          04|00000006|NÉMET                         |00047984|03|    DÓCS GÁBOR                          |000000|FÜGGETLEN                     |1|nyert                         |00002929
01|BUDAPEST  |004|BUDAPEST          04|00000006|NÉMET                         |00059981|04|    GIZUR ERIK KÁROLY                   |000000|FÜGGETLEN                     |1|nyert                         |00002594
01|BUDAPEST  |004|BUDAPEST          04|00000006|NÉMET                         |00066638|05|    TÓTH JÓZSEFNÉ                       |000000|FÜGGETLEN                     |1|nyert                         |00002818
01|BUDAPEST  |005|BUDAPEST          05|00000002|CIGÁNY                        |00069585|01|    BALÁZS ELVIRA                       |010140|ROMA MUNKAADÓK ÉS M.VÁLL.SZÖV.|1|nyert                         |00000610
