01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |037|    VAS JÓZSEF JÁNOS                    |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |038|    MÁTÉ GYULA                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |039|    DOROGI GABRIELLA ZSUZSANNA          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |040|    ZSIROS ISTVÁN                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |041|    TAHON GÁBOR                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |042|    RÓZSÁNÉ DR. LUPKOVICS MARIANNA      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |043|    MATLÁK GÁBOR                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |044|DR  KŐHALMI KÁROLY                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |045|DR. SZEKERES-VARSA VERA                 |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |046|    KATÓ ÁRPÁD                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |047|    KERTÉSZ CSABA                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |048|    MÉSZÁROS PÉTER                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |049|    LENKEI LÁSZLÓ                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |050|    DONÁTH PÉTERNÉ GÁSPÁR ZSUZSA        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |051|    FÜLEKI RUDOLF                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |052|    SOLTINÉ KIS KATALIN                 |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |053|    TISZA ZOLTÁN                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |054|    BARTHA LÁSZLÓ                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |055|    SZILI KOVÁCS TIBOR KÁROLY           |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |056|    MONTÁGH IMRÉNÉ RIENER KORNÉLIA      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |057|    GÁSPÁR ERNŐ                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |058|    MEÉLEGA KÁLMÁN                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |059|    BARNA ANDOR                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |060|    BARÁTH GERGELY                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |061|    SEBŐKNÉ SZIRMAI ZSUZSANNA           |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |062|    LIPINSZKY KÁROLY                    |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |063|    HUBA MÁRIA MAGDOLNA                 |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |064|DR. CSÁK EMŐKE                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |065|DR. FELKAI PÉTER                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |066|    GYŐRI DÉNES                         |3|nem nyert
