02|BARANYA   |152|LIPTÓD              |000006|NÉMET                         |1|eredményes               |00000574|000003|00000206
02|BARANYA   |155|LÚZSOK              |000002|CIGÁNY                        |1|eredményes               |00000150|000003|00000072
02|BARANYA   |160|MAGYARMECSKE        |000002|CIGÁNY                        |1|eredményes               |00000128|000003|00000069
02|BARANYA   |182|MOHÁCS              |000002|CIGÁNY                        |1|eredményes               |00001115|000005|00000441
02|BARANYA   |182|MOHÁCS              |000004|HORVÁT                        |1|eredményes               |00002173|000005|00000976
02|BARANYA   |182|MOHÁCS              |000006|NÉMET                         |1|eredményes               |00006303|000005|00002807
02|BARANYA   |188|NAGYDOBSZA          |000002|CIGÁNY                        |1|eredményes               |00000420|000003|00000201
02|BARANYA   |193|NAGYPALL            |000006|NÉMET                         |1|eredményes               |00000483|000003|00000183
02|BARANYA   |201|OLASZ               |000004|HORVÁT                        |1|eredményes               |00000463|000003|00000228
02|BARANYA   |212|PATAPOKLOSI         |000002|CIGÁNY                        |1|eredményes               |00000297|000003|00000126
02|BARANYA   |218|PÉCS                |000002|CIGÁNY                        |1|eredményes               |00003433|000005|00001402
02|BARANYA   |218|PÉCS                |000004|HORVÁT                        |1|eredményes               |00006544|000005|00002882
02|BARANYA   |218|PÉCS                |000006|NÉMET                         |1|eredményes               |00026565|000005|00010686
02|BARANYA   |218|PÉCS                |000010|SZERB                         |1|eredményes               |00001079|000005|00000482
02|BARANYA   |223|PISKÓ               |000002|CIGÁNY                        |1|eredményes               |00000252|000003|00000117
02|BARANYA   |232|SÁSD                |000002|CIGÁNY                        |1|eredményes               |00000250|000005|00000134
02|BARANYA   |232|SÁSD                |000006|NÉMET                         |1|eredményes               |00001179|000005|00000589
02|BARANYA   |234|SELLYE              |000004|HORVÁT                        |1|eredményes               |00001880|000005|00000818
02|BARANYA   |235|SIKLÓS              |000004|HORVÁT                        |1|eredményes               |00003321|000005|00002318
02|BARANYA   |237|SIKLÓSNAGYFALU      |000002|CIGÁNY                        |1|eredményes               |00000313|000003|00000125
02|BARANYA   |246|SZAJK               |000006|NÉMET                         |1|eredményes               |00000480|000003|00000239
02|BARANYA   |248|SZALÁNTA            |000004|HORVÁT                        |1|eredményes               |00000807|000003|00000387
02|BARANYA   |253|SZÁSZVÁR            |000006|NÉMET                         |1|eredményes               |00001843|000005|00000762
02|BARANYA   |269|SZŐKÉD              |000002|CIGÁNY                        |1|eredményes               |00000096|000003|00000067
02|BARANYA   |271|SZŰR                |000006|NÉMET                         |1|eredményes               |00000326|000003|00000134
02|BARANYA   |284|ÚJPETRE             |000006|NÉMET                         |1|eredményes               |00000879|000003|00000365
02|BARANYA   |292|VELÉNY              |000002|CIGÁNY                        |1|eredményes               |00000152|000003|00000065
02|BARANYA   |293|VERSEND             |000002|CIGÁNY                        |1|eredményes               |00000264|000003|00000129
02|BARANYA   |293|VERSEND             |000004|HORVÁT                        |1|eredményes               |00000194|000003|00000094
02|BARANYA   |293|VERSEND             |000006|NÉMET                         |1|eredményes               |00000158|000003|00000065
02|BARANYA   |296|VILLÁNY             |000006|NÉMET                         |1|eredményes               |00004034|000005|00001101
03|BÁCS-KISK.|004|BAJA                |000002|CIGÁNY                        |1|eredményes               |00000835|000005|00000426
03|BÁCS-KISK.|004|BAJA                |000004|HORVÁT                        |1|eredményes               |00003957|000005|00001905
03|BÁCS-KISK.|004|BAJA                |000006|NÉMET                         |1|eredményes               |00007152|000005|00002569
03|BÁCS-KISK.|004|BAJA                |000010|SZERB                         |1|eredményes               |00000679|000005|00000323
03|BÁCS-KISK.|007|BÁCSALMÁS           |000004|HORVÁT                        |1|eredményes               |00001153|000005|00000452
03|BÁCS-KISK.|007|BÁCSALMÁS           |000006|NÉMET                         |1|eredményes               |00003390|000005|00001361
03|BÁCS-KISK.|008|BÁCSBOKOD           |000004|HORVÁT                        |1|eredményes               |00000709|000005|00000260
03|BÁCS-KISK.|008|BÁCSBOKOD           |000006|NÉMET                         |1|eredményes               |00001895|000005|00000626
03|BÁCS-KISK.|010|BÁCSSZENTGYÖRGY     |000004|HORVÁT                        |0|eredménytelen            |00000049|000000|00000031
03|BÁCS-KISK.|010|BÁCSSZENTGYÖRGY     |000006|NÉMET                         |1|eredményes               |00000110|000003|00000050
03|BÁCS-KISK.|022|CSIKÉRIA            |000004|HORVÁT                        |1|eredményes               |00000947|000003|00000420
03|BÁCS-KISK.|031|DUSNOK              |000002|CIGÁNY                        |1|eredményes               |00000212|000005|00000073
03|BÁCS-KISK.|031|DUSNOK              |000004|HORVÁT                        |1|eredményes               |00002542|000005|00000947
03|BÁCS-KISK.|041|GARA                |000004|HORVÁT                        |1|eredményes               |00001301|000005|00000342
03|BÁCS-KISK.|041|GARA                |000006|NÉMET                         |1|eredményes               |00001446|000005|00000363
03|BÁCS-KISK.|048|HERCEGSZÁNTÓ        |000004|HORVÁT                        |1|eredményes               |00001289|000005|00000504
03|BÁCS-KISK.|048|HERCEGSZÁNTÓ        |000010|SZERB                         |1|eredményes               |00000649|000005|00000190
03|BÁCS-KISK.|055|KALOCSA             |000002|CIGÁNY                        |1|eredményes               |00001566|000005|00000650
03|BÁCS-KISK.|057|KATYMÁR             |000006|NÉMET                         |1|eredményes               |00001898|000005|00000784
03|BÁCS-KISK.|058|KECEL               |000002|CIGÁNY                        |1|eredményes               |00002065|000005|00000836
03|BÁCS-KISK.|059|KECSKEMÉT           |000002|CIGÁNY                        |1|eredményes               |00018788|000005|00010126
03|BÁCS-KISK.|063|KISKŐRÖS            |000002|CIGÁNY                        |1|eredményes               |00002195|000005|00001462
03|BÁCS-KISK.|064|KISKUNFÉLEGYHÁZA    |000002|CIGÁNY                        |1|eredményes               |00003737|000005|00002665
03|BÁCS-KISK.|065|KISKUNHALAS         |000002|CIGÁNY                        |1|eredményes               |00005416|000005|00003796
03|BÁCS-KISK.|066|KISKUNMAJSA         |000002|CIGÁNY                        |1|eredményes               |00003232|000005|00001671
03|BÁCS-KISK.|070|KUNBAJA             |000006|NÉMET                         |1|eredményes               |00003401|000005|00000906
03|BÁCS-KISK.|077|LAJOSMIZSE          |000002|CIGÁNY                        |1|eredményes               |00002776|000005|00001708
03|BÁCS-KISK.|081|MÉLYKÚT             |000002|CIGÁNY                        |1|eredményes               |00001627|000005|00000713
03|BÁCS-KISK.|097|SOLTVADKERT         |000002|CIGÁNY                        |1|eredményes               |00000870|000005|00000593
03|BÁCS-KISK.|098|SÜKÖSD              |000002|CIGÁNY                        |1|eredményes               |00001477|000005|00000608
03|BÁCS-KISK.|099|SZABADSZÁLLÁS       |000002|CIGÁNY                        |1|eredményes               |00000939|000005|00000513
03|BÁCS-KISK.|115|VASKÚT              |000006|NÉMET                         |1|eredményes               |00002861|000005|00000986
04|BÉKÉS     |001|ALMÁSKAMARÁS        |000006|NÉMET                         |1|eredményes               |00000851|000003|00000370
04|BÉKÉS     |002|BATTONYA            |000002|CIGÁNY                        |1|eredményes               |00000640|000005|00000232
04|BÉKÉS     |002|BATTONYA            |000008|ROMÁN                         |1|eredményes               |00000737|000005|00000243
04|BÉKÉS     |002|BATTONYA            |000010|SZERB                         |1|eredményes               |00001821|000005|00000580
04|BÉKÉS     |003|BÉKÉS               |000002|CIGÁNY                        |1|eredményes               |00003957|000005|00002343
