03|BÁCS-KISK.|F|Megyei közgyűlési lista 10000 lakos feletti       |08|00312000|FÜGGETLEN KISGAZDAPÁRT        |00007647|003
03|BÁCS-KISK.|F|Megyei közgyűlési lista 10000 lakos feletti       |09|00318000|MAGYAR SZOCIALISTA PÁRT       |00012344|005
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |01|00426000|MAGYAR SZOCIALISTA PÁRT       |00020962|008
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |02|00419000|CSANÁDAPÁCAI GAZDAKÖR         |00001301|000
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |03|00418000|NAGYCSALÁDOSOK ORSZÁGOS EGY-E |00002633|000
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |04|00427000|BM CIGÁNYLAKOSOK EGYESÜLETE   |00000675|000
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |05|00430000|MUNKÁSPÁRT                    |00005155|002
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |06|00428000|FÜGGETLEN KISGAZDAPÁRT        |00013704|005
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |07|00411000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00008065|003
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |08|00415000|POLGÁRMESTEREK EGYESÜLETE     |00003907|001
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |09|00424000|KDNP MDF                      |00005170|002
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |10|00416000|MSZDP                         |00001084|000
04|BÉKÉS     |A|Megyei közgyűlési lista 10000 lakos alatti        |11|00420000|FIDESZ                        |00003346|001
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |01|00421000|FIDESZ                        |00002646|001
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |02|00417000|NAGYCSALÁDOSOK ORSZÁGOS EGY-E |00002077|001
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |03|00412000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00008222|003
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |04|00414000|MAGYAR SZOCIALISTA PÁRT       |00014593|006
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |05|00423000|MUNKÁSPÁRT                    |00002251|001
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |06|00429000|FÜGGETLEN KISGAZDAPÁRT        |00008259|004
04|BÉKÉS     |F|Megyei közgyűlési lista 10000 lakos feletti       |07|00425000|KDNP MDF                      |00005469|002
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |01|00515000|MAGYAR SZOCIALISTA PÁRT       |00051349|014
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |02|00522000|MMSZ-NOE-KINSZE-CSALÁDSEGÍTŐ  |00006190|000
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |03|00520000|FIDESZ                        |00011890|003
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |04|00527000|PED SZAKSZ BAZ M SZÖVETSÉGE   |00005877|000
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |05|00523000|MAGYAR DEMOKRATA FÓRUM        |00008781|002
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |06|00529000|AGRÁRSZÖVETSÉG                |00003604|000
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |07|00530000|FKGP-MIÉP                     |00027450|008
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |08|00533000|BÁNYÁSZ-GÖMÖR-ÓZD-ZEMPLÉN-SZÖV|00007994|002
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |09|00513000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00014399|004
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |10|00518000|MUNKÁSPÁRT                    |00008849|002
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |11|00525000|MEZŐKÖVESD KÖRNYÉKE KULT.EGY. |00002108|000
05|BORSOD-A-Z|A|Megyei közgyűlési lista 10000 lakos alatti        |12|00511000|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00017074|005
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |01|00528000|AGRÁRSZÖVETSÉG                |00001751|000
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |02|00532000|BÁNYÁSZ-GÖMÖR-ÓZD-ZEMPLÉN-SZÖV|00002290|001
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |03|00512000|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00005605|002
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |04|00531000|FKGP-MIÉP                     |00004469|002
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |05|00521000|FIDESZ                        |00003364|001
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |06|00514000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |00008354|003
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |07|00517000|ORESZ                         |00000488|000
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |08|00519000|MUNKÁSPÁRT                    |00003120|001
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |09|00526000|PED SZAKSZ BAZ M SZÖVETSÉGE   |00002042|000
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |10|00524000|MAGYAR DEMOKRATA FÓRUM        |00002776|001
05|BORSOD-A-Z|F|Megyei közgyűlési lista 10000 lakos feletti       |11|00516000|MAGYAR SZOCIALISTA PÁRT       |00019077|008
06|CSONGRÁD  |A|Megyei közgyűlési lista 10000 lakos alatti        |01|00623000|KERESZTÉNYDEMOKRATA NÉPPÁRT   |00004437|002
06|CSONGRÁD  |A|Megyei közgyűlési lista 10000 lakos alatti        |02|00628000|FÜGGETLEN KISGAZDAPÁRT        |00010234|006
06|CSONGRÁD  |A|Megyei közgyűlési lista 10000 lakos alatti        |03|00620000|ORCHIDEA ÉRD. EGYESÜLET       |00001042|000
06|CSONGRÁD  |A|Megyei közgyűlési lista 10000 lakos alatti        |04|00626000|MUNKÁSPÁRT                    |00001969|001
06|CSONGRÁD  |A|Megyei közgyűlési lista 10000 lakos alatti        |05|00632000|MAGYAR SZOCIALISTA PÁRT       |00012381|007
