1|03|BÁCS      |09|00049540|00000140|00000001|00049679|00026997|00026989|00000008|00000330|00026659|0|eredménytelen
1|03|BÁCS      |10|00039904|00000056|00000002|00039958|00019606|00019599|00000007|00000313|00019286|0|eredménytelen
1|04|BÉKÉS     |01|00053376|00000170|00000017|00053529|00031123|00031088|00000035|00000336|00030752|0|eredménytelen
1|04|BÉKÉS     |02|00050851|00000308|00000004|00051155|00025611|00025593|00000018|00000467|00025126|0|eredménytelen
1|04|BÉKÉS     |03|00038969|00000038|00000000|00039007|00021245|00021233|00000012|00000447|00020786|0|eredménytelen
1|04|BÉKÉS     |04|00040140|00000038|00000003|00040175|00018524|00018516|00000008|00000374|00018142|0|eredménytelen
1|04|BÉKÉS     |05|00039564|00000095|00000001|00039658|00021467|00021444|00000023|00000411|00021033|0|eredménytelen
1|04|BÉKÉS     |06|00053463|00000081|00000000|00053544|00029716|00029682|00000034|00000497|00029185|0|eredménytelen
1|04|BÉKÉS     |07|00044889|00000069|00000000|00044958|00021944|00021941|00000004|00000435|00021506|0|eredménytelen
1|05|BORSOD    |01|00044247|00000066|00000002|00044311|00025341|00025322|00000019|00000306|00025016|0|eredménytelen
1|05|BORSOD    |02|00046313|00000201|00000003|00046511|00029030|00028986|00000044|00000236|00028750|0|eredménytelen
1|05|BORSOD    |03|00046702|00000146|00000003|00046845|00026160|00026124|00000036|00000238|00025886|0|eredménytelen
1|05|BORSOD    |04|00043623|00000112|00000003|00043732|00026319|00026298|00000021|00000220|00026078|0|eredménytelen
1|05|BORSOD    |05|00044278|00000046|00000001|00044323|00022822|00022808|00000014|00000322|00022486|0|eredménytelen
1|05|BORSOD    |06|00037701|00000034|00000001|00037734|00020043|00020029|00000014|00000323|00019706|0|eredménytelen
1|05|BORSOD    |07|00042278|00000078|00000001|00042355|00022813|00022802|00000011|00000269|00022533|0|eredménytelen
1|05|BORSOD    |08|00037566|00000092|00000005|00037653|00021354|00021345|00000009|00000330|00021015|0|eredménytelen
1|05|BORSOD    |09|00047273|00000064|00000000|00047337|00026321|00026315|00000007|00000513|00025802|0|eredménytelen
1|05|BORSOD    |10|00049903|00000131|00000002|00050032|00027206|00027184|00000022|00000402|00026782|0|eredménytelen
1|05|BORSOD    |11|00048842|00000115|00000003|00048954|00025638|00025632|00000006|00000459|00025173|0|eredménytelen
1|05|BORSOD    |12|00049909|00000054|00000002|00049961|00024502|00024486|00000016|00000384|00024102|0|eredménytelen
1|05|BORSOD    |13|00045247|00000103|00000000|00045350|00026528|00026519|00000009|00000366|00026153|0|eredménytelen
1|06|CSONGRÁD  |01|00050470|00000310|00000000|00050780|00029394|00029368|00000026|00000318|00029050|0|eredménytelen
1|06|CSONGRÁD  |02|00059213|00000387|00000000|00059600|00032090|00032061|00000029|00000493|00031568|0|eredménytelen
1|06|CSONGRÁD  |03|00055421|00000242|00000000|00055663|00029480|00029460|00000020|00000317|00029143|0|eredménytelen
1|06|CSONGRÁD  |04|00047844|00000107|00000017|00047934|00023295|00023279|00000016|00000422|00022857|0|eredménytelen
1|06|CSONGRÁD  |05|00037092|00000074|00000001|00037165|00019024|00019012|00000012|00000220|00018792|0|eredménytelen
1|06|CSONGRÁD  |06|00047697|00000059|00000000|00047756|00027272|00027243|00000029|00000411|00026832|1|eredményes
1|06|CSONGRÁD  |07|00041021|00000038|00000000|00041059|00020494|00020479|00000015|00000329|00020150|0|eredménytelen
1|07|FEJÉR     |01|00045843|00000114|00000007|00045950|00028926|00028888|00000038|00000219|00028669|0|eredménytelen
1|07|FEJÉR     |02|00049920|00000122|00000005|00050037|00029829|00029806|00000023|00000277|00029529|0|eredménytelen
1|07|FEJÉR     |03|00044390|00000099|00000001|00044488|00024866|00024843|00000023|00000201|00024642|0|eredménytelen
1|07|FEJÉR     |04|00050089|00000499|00000000|00050588|00025537|00025527|00000010|00000347|00025180|0|eredménytelen
1|07|FEJÉR     |05|00047459|00000099|00000000|00047558|00026206|00026191|00000015|00000350|00025841|0|eredménytelen
1|07|FEJÉR     |06|00047479|00000078|00000001|00047556|00021528|00021515|00000013|00000388|00021127|0|eredménytelen
1|07|FEJÉR     |07|00045311|00000172|00000001|00045482|00023734|00023727|00000007|00000333|00023394|0|eredménytelen
1|08|GYÕR      |01|00052121|00000102|00000000|00052223|00028662|00028645|00000017|00000484|00028161|0|eredménytelen
1|08|GYÕR      |02|00051456|00000250|00000002|00051704|00033021|00032993|00000028|00000289|00032704|0|eredménytelen
1|08|GYÕR      |03|00050653|00000138|00000002|00050789|00031428|00031361|00000067|00000218|00031143|0|eredménytelen
1|08|GYÕR      |04|00046638|00000150|00000006|00046782|00027118|00027108|00000010|00000381|00026727|0|eredménytelen
