1|03|BÁCS      |01|00044689|00000040|00000149|00000138|00000007|00045009|00029518|00029473|00000045|00000372|00029101                                                                                                                                                                                    
1|03|BÁCS      |02|00035456|00000008|00000114|00000070|00000005|00035643|00022988|00022948|00000040|00000720|00022228                                                                                                                                                                                    
1|03|BÁCS      |03|00039975|00000007|00000024|00000073|00000000|00040079|00023397|00023376|00000021|00000354|00023022                                                                                                                                                                                    
1|03|BÁCS      |04|00045981|00000009|00000016|00000069|00000000|00046075|00026629|00026605|00000024|00000520|00026085                                                                                                                                                                                    
1|03|BÁCS      |05|00041853|00000003|00000010|00000031|00000000|00041897|00025074|00025054|00000020|00000405|00024649                                                                                                                                                                                    
1|03|BÁCS      |06|00043073|00000005|00000022|00000060|00000000|00043160|00025513|00025491|00000022|00000392|00025099                                                                                                                                                                                    
1|03|BÁCS      |07|00044401|00000010|00000020|00000077|00000000|00044508|00029475|00029440|00000035|00000410|00029030                                                                                                                                                                                    
1|03|BÁCS      |08|00040158|00000022|00000062|00000084|00000004|00040322|00023678|00023658|00000020|00000350|00023308                                                                                                                                                                                    
1|03|BÁCS      |09|00048632|00000017|00000050|00000214|00000000|00048913|00031912|00031879|00000033|00000421|00031458                                                                                                                                                                                    
1|03|BÁCS      |10|00040502|00000003|00000016|00000051|00000019|00040553|00024566|00024554|00000012|00000428|00024126                                                                                                                                                                                    
1|04|BÉKÉS     |01|00052649|00000006|00000100|00000105|00000020|00052840|00036875|00036841|00000034|00000343|00036498                                                                                                                                                                                    
1|04|BÉKÉS     |02|00050032|00000019|00000135|00000331|00000033|00050484|00034084|00034039|00000045|00000620|00033419                                                                                                                                                                                    
1|04|BÉKÉS     |03|00038271|00000004|00000007|00000019|00000000|00038301|00026149|00026104|00000045|00000519|00025585                                                                                                                                                                                    
1|04|BÉKÉS     |04|00039869|00000005|00000027|00000043|00000001|00039943|00025129|00025105|00000024|00000392|00024713                                                                                                                                                                                    
1|04|BÉKÉS     |05|00039920|00000002|00000016|00000053|00000011|00039980|00027733|00027703|00000030|00000594|00027109                                                                                                                                                                                    
1|04|BÉKÉS     |06|00052689|00000011|00000015|00000064|00000000|00052779|00037299|00037263|00000036|00000575|00036688                                                                                                                                                                                    
1|04|BÉKÉS     |07|00045169|00000007|00000041|00000066|00000005|00045278|00030628|00030604|00000024|00000690|00029914                                                                                                                                                                                    
1|05|BORSOD    |01|00043399|00000020|00000066|00000071|00000016|00043540|00030631|00030588|00000043|00000370|00030218                                                                                                                                                                                    
1|05|BORSOD    |02|00047356|00000027|00000142|00000140|00000047|00047618|00034417|00034359|00000058|00000427|00033932                                                                                                                                                                                    
1|05|BORSOD    |03|00044157|00000020|00000127|00000075|00000016|00044363|00030904|00030872|00000032|00000222|00030650                                                                                                                                                                                    
1|05|BORSOD    |04|00044170|00000028|00000083|00000058|00000006|00044333|00032257|00032225|00000032|00000397|00031828                                                                                                                                                                                    
1|05|BORSOD    |05|00044895|00000011|00000046|00000031|00000008|00044975|00030539|00030518|00000021|00000412|00030106                                                                                                                                                                                    
1|05|BORSOD    |06|00037324|00000003|00000027|00000034|00000002|00037386|00025450|00025430|00000020|00000487|00024943                                                                                                                                                                                    
1|05|BORSOD    |07|00041928|00000002|00000052|00000050|00000000|00042032|00028770|00028752|00000018|00000377|00028375                                                                                                                                                                                    
1|05|BORSOD    |08|00037900|00000003|00000020|00000072|00000041|00037954|00026064|00026049|00000015|00000511|00025538                                                                                                                                                                                    
1|05|BORSOD    |09|00047265|00000004|00000027|00000133|00000012|00047417|00032691|00032673|00000018|00000702|00031971                                                                                                                                                                                    
1|05|BORSOD    |10|00050173|00000011|00000070|00000085|00000026|00050313|00033667|00033645|00000022|00000578|00033067                                                                                                                                                                                    
1|05|BORSOD    |11|00049039|00000013|00000068|00000080|00000030|00049170|00032754|00032724|00000030|00000618|00032106                                                                                                                                                                                    
1|05|BORSOD    |12|00048252|00000017|00000038|00000034|00000007|00048334|00031896|00031874|00000022|00000545|00031329                                                                                                                                                                                    
1|05|BORSOD    |13|00045234|00000031|00000026|00000110|00000001|00045400|00032355|00032331|00000024|00000578|00031753                                                                                                                                                                                    
1|06|CSONGRÁD  |01|00049746|00000018|00000029|00000215|00000001|00050007|00033819|00033785|00000034|00000356|00033429                                                                                                                                                                                    
1|06|CSONGRÁD  |02|00058529|00000021|00000054|00000228|00000000|00058832|00038324|00038277|00000047|00000630|00037647                                                                                                                                                                                    
1|06|CSONGRÁD  |03|00053578|00000027|00000020|00000107|00000000|00053732|00034550|00034531|00000019|00000447|00034084                                                                                                                                                                                    
1|06|CSONGRÁD  |04|00047283|00000010|00000029|00000070|00000038|00047354|00028617|00028588|00000029|00000599|00027989                                                                                                                                                                                    
1|06|CSONGRÁD  |05|00036932|00000004|00000020|00000058|00000004|00037010|00024660|00024628|00000032|00000350|00024278                                                                                                                                                                                    
1|06|CSONGRÁD  |06|00047739|00000030|00000026|00000051|00000005|00047841|00033204|00033168|00000036|00000479|00032689                                                                                                                                                                                    
1|06|CSONGRÁD  |07|00041397|00000004|00000009|00000047|00000006|00041451|00026534|00026517|00000017|00000639|00025878                                                                                                                                                                                    
1|07|FEJÉR     |01|00045547|00000008|00000059|00000112|00000024|00045702|00034414|00034359|00000055|00000281|00034078                                                                                                                                                                                    
1|07|FEJÉR     |02|00047318|00000027|00000055|00000083|00000009|00047474|00033932|00033895|00000037|00000364|00033531                                                                                                                                                                                    
1|07|FEJÉR     |03|00043758|00000020|00000058|00000042|00000020|00043858|00030178|00030132|00000046|00000271|00029861                                                                                                                                                                                    
1|07|FEJÉR     |04|00046594|00000011|00000045|00000347|00000004|00046993|00030671|00030631|00000040|00000538|00030093                                                                                                                                                                                    
1|07|FEJÉR     |05|00045063|00000013|00000027|00000067|00000000|00045170|00030851|00030830|00000021|00000419|00030411                                                                                                                                                                                    
1|07|FEJÉR     |06|00046474|00000009|00000026|00000060|00000000|00046569|00028122|00028104|00000018|00000496|00027608                                                                                                                                                                                    
1|07|FEJÉR     |07|00043167|00000005|00000028|00000098|00000000|00043298|00029078|00029062|00000016|00000415|00028647                                                                                                                                                                                    
1|08|GYÕR      |01|00049578|00000006|00000033|00000078|00000007|00049688|00034379|00034365|00000014|00000553|00033812                                                                                                                                                                                    
1|08|GYÕR      |02|00051321|00000009|00000053|00000139|00000001|00051521|00038356|00038306|00000050|00000276|00038030                                                                                                                                                                                    
1|08|GYÕR      |03|00047875|00000011|00000069|00000099|00000026|00048028|00035852|00035811|00000041|00000205|00035606                                                                                                                                                                                    
1|08|GYÕR      |04|00045209|00000005|00000023|00000118|00000001|00045354|00032276|00032258|00000018|00000461|00031797                                                                                                                                                                                    
1|08|GYÕR      |05|00044087|00000005|00000006|00000080|00000001|00044177|00031817|00031786|00000031|00000626|00031160                                                                                                                                                                                    
1|08|GYÕR      |06|00044317|00000016|00000017|00000065|00000001|00044414|00032836|00032822|00000014|00000561|00032261                                                                                                                                                                                    
1|08|GYÕR      |07|00047161|00000047|00000022|00000735|00000009|00047956|00035969|00035878|00000091|00000317|00035561                                                                                                                                                                                    
1|09|HAJDÚ     |01|00056057|00000008|00000109|00000159|00000006|00056327|00036873|00036820|00000053|00000552|00036268                                                                                                                                                                                    
1|09|HAJDÚ     |02|00048820|00000009|00000102|00000066|00000001|00048996|00032816|00032745|00000071|00000394|00032351                                                                                                                                                                                    
1|09|HAJDÚ     |03|00053694|00000009|00000130|00000215|00000002|00054046|00038240|00038166|00000074|00000421|00037745                                                                                                                                                                                    
1|09|HAJDÚ     |04|00042126|00000003|00000056|00000045|00000004|00042226|00023209|00023182|00000027|00000539|00022643                                                                                                                                                                                    
1|09|HAJDÚ     |05|00044327|00000013|00000030|00000098|00000004|00044464|00027437|00027413|00000024|00000508|00026905                                                                                                                                                                                    
1|09|HAJDÚ     |06|00040914|00000003|00000028|00000023|00000002|00040966|00026264|00026244|00000020|00000754|00025490                                                                                                                                                                                    
1|09|HAJDÚ     |07|00047984|00000013|00000033|00000230|00000007|00048253|00029369|00029327|00000042|00000524|00028803                                                                                                                                                                                    
1|09|HAJDÚ     |08|00037639|00000001|00000027|00000044|00000000|00037711|00024587|00024565|00000022|00000455|00024110                                                                                                                                                                                    
1|09|HAJDÚ     |09|00044719|00000006|00000033|00000049|00000001|00044806|00027913|00027873|00000040|00000504|00027369                                                                                                                                                                                    
1|10|HEVES     |01|00048650|00000021|00000317|00000349|00000033|00049304|00038081|00038023|00000058|00000289|00037734                                                                                                                                                                                    
1|10|HEVES     |02|00038456|00000001|00000012|00000137|00000018|00038588|00027391|00027367|00000024|00000512|00026855                                                                                                                                                                                    
1|10|HEVES     |03|00049828|00000031|00000032|00000322|00000080|00050133|00036983|00036886|00000097|00000503|00036383                                                                                                                                                                                    
1|10|HEVES     |04|00045350|00000022|00000022|00000047|00000009|00045432|00031346|00031323|00000023|00000525|00030798                                                                                                                                                                                    
1|10|HEVES     |05|00040401|00000016|00000017|00000058|00000001|00040491|00026543|00026518|00000025|00000521|00025997                                                                                                                                                                                    
1|10|HEVES     |06|00035189|00000007|00000031|00000063|00000006|00035284|00023924|00023909|00000015|00000387|00023522                                                                                                                                                                                    
1|11|SZOLNOK   |01|00038107|00000006|00000004|00000062|00000001|00038178|00025537|00025507|00000030|00000410|00025097                                                                                                                                                                                    
1|11|SZOLNOK   |02|00033022|00000003|00000009|00000049|00000013|00033070|00022152|00022133|00000019|00000546|00021587                                                                                                                                                                                    
1|11|SZOLNOK   |03|00044286|00000033|00000067|00000060|00000002|00044444|00030066|00030025|00000041|00000500|00029525                                                                                                                                                                                    
1|11|SZOLNOK   |04|00048386|00000034|00000066|00000058|00000002|00048542|00034663|00034631|00000032|00000419|00034212                                                                                                                                                                                    
1|11|SZOLNOK   |05|00037692|00000012|00000036|00000057|00000000|00037797|00025591|00025564|00000027|00000432|00025132                                                                                                                                                                                    
1|11|SZOLNOK   |06|00035543|00000012|00000046|00000037|00000026|00035612|00024448|00024417|00000031|00000472|00023945                                                                                                                                                                                    
1|11|SZOLNOK   |07|00046497|00000000|00000013|00000050|00000004|00046556|00030435|00030409|00000026|00000600|00029809                                                                                                                                                                                    
1|11|SZOLNOK   |08|00046410|00000045|00000025|00000067|00000014|00046533|00030520|00030486|00000034|00000654|00029832                                                                                                                                                                                    
1|12|KOMÁROM   |01|00056617|00000018|00000072|00000062|00000002|00056767|00040480|00040431|00000049|00000356|00040075                                                                                                                                                                                    
1|12|KOMÁROM   |02|00043676|00000011|00000054|00000102|00000028|00043815|00031377|00031346|00000031|00000358|00030988                                                                                                                                                                                    
1|12|KOMÁROM   |03|00045352|00000008|00000025|00000076|00000001|00045460|00030723|00030703|00000020|00000333|00030370                                                                                                                                                                                    
1|12|KOMÁROM   |04|00048061|00000006|00000015|00000058|00000005|00048135|00033507|00033486|00000021|00000391|00033095                                                                                                                                                                                    
1|12|KOMÁROM   |05|00046244|00000009|00000075|00000119|00000004|00046443|00032888|00032849|00000039|00000342|00032507                                                                                                                                                                                    
1|13|NÓGRÁD    |01|00045913|00000016|00000045|00000064|00000009|00046029|00034083|00034058|00000025|00000325|00033733                                                                                                                                                                                    
1|13|NÓGRÁD    |02|00047016|00000006|00000046|00000117|00000002|00047183|00032449|00032416|00000033|00000480|00031936                                                                                                                                                                                    
1|13|NÓGRÁD    |03|00039703|00000003|00000025|00000046|00000014|00039763|00026945|00026936|00000009|00000432|00026504                                                                                                                                                                                    
1|13|NÓGRÁD    |04|00043991|00000015|00000019|00000158|00000000|00044183|00030184|00030169|00000015|00000384|00029785                                                                                                                                                                                    
1|14|PEST      |01|00038887|00000004|00000064|00000189|00000023|00039121|00026513|00026478|00000035|00000455|00026023                                                                                                                                                                                    
1|14|PEST      |02|00039509|00000022|00000140|00000125|00000004|00039792|00028215|00028181|00000034|00000278|00027903                                                                                                                                                                                    
1|14|PEST      |03|00040467|00000022|00000113|00000095|00000002|00040695|00028041|00028011|00000030|00000298|00027713                                                                                                                                                                                    
1|14|PEST      |04|00055241|00000034|00000185|00000155|00000015|00055600|00038769|00038717|00000052|00000385|00038332                                                                                                                                                                                    
1|14|PEST      |05|00038588|00000018|00000069|00000064|00000008|00038731|00025657|00025632|00000025|00000436|00025196                                                                                                                                                                                    
