1|01|BUDAPEST  |07|01|    |HORNYÁK LÁSZLÓNÉ                    |00000955|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |07|02|    |KARSAI KÁROLY                       |00001911|FIDESZ                                                                    
1|01|BUDAPEST  |07|03|DR. |KÉZDI ANDREA                        |00001452|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |07|04|DR. |LIPTÁKNÉ DR.CSEKEY ÉVA              |00002115|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |07|05|DR. |SCHAMSCHULA GYÖRGY                  |00008030|MDF                                                                       
1|01|BUDAPEST  |07|06|DR. |TARDOS MÁRTON                       |00008182|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |07|07|    |TÓTH LAJOS                          |00001812|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |07|08|    |VITÁNYI IVÁN                        |00010013|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |08|01|    |BÁRSONY ANDRÁS                      |00009757|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |08|02|    |DÉVÉNYI CSABA                       |00000432|LPSZ VÁLLALKOZÓK PÁRTJA                                                   
1|01|BUDAPEST  |08|03|DR. |HANKISS ÁGNES                       |00002439|FIDESZ                                                                    
1|01|BUDAPEST  |08|04|    |KARACS LAJOSNÉ                      |00000940|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |08|05|    |KŐSZEG FERENC                       |00006958|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |08|06|    |LÁZI FERENC                         |00002544|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |08|07|DR. |RÉTHÁTI LÁSZLÓ                      |00001781|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |08|08|DR. |VEÉR ANDRÁS                         |00001683|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |08|09|DR. |ZÉTÉNYI ZSOLT                       |00005917|MDF                                                                       
1|01|BUDAPEST  |09|01|DR. |BOGNÁR MÁTYÁS                       |00000648|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |09|02|    |BÜKY DOROTTYA                       |00005933|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |09|03|    |DEUTSCH TAMÁS                       |00002760|FIDESZ                                                                    
1|01|BUDAPEST  |09|04|    |FILLÓ PÁL                           |00010842|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |09|05|DR. |HAHN GYÖRGY                         |00000333|MSZDP                                                                     
1|01|BUDAPEST  |09|06|    |LŐRINCZ ISTVÁN                      |00000639|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |09|07|    |MÓRÉ CSABA JÓZSEF                   |00001862|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |09|08|    |TOPERCZER FERENC                    |00003969|MDF                                                                       
1|01|BUDAPEST  |09|09|    |VASUTA GÁBOR                        |00001916|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |10|01|DR. |FERENCZ CSABA                       |00007110|MDF                                                                       
1|01|BUDAPEST  |10|02|    |GAÁL GYULA                          |00006442|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |10|03|    |KORÁNDI JÓZSEF                      |00001278|LPSZ VÁLLALKOZÓK PÁRTJA                                                   
1|01|BUDAPEST  |10|04|    |ROCKENBAUER ZOLTÁN                  |00002581|FIDESZ                                                                    
1|01|BUDAPEST  |10|05|DR. |SZABÓ ZOLTÁN                        |00010261|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |11|01|    |BENYHE ISTVÁN                       |00002638|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |11|02|    |DAUDA SÁNDOR ISTVÁN                 |00000965|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |11|03|    |IVÁNYI GÁBOR                        |00005936|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |11|04|    |KÁLLAI ISTVÁN                       |00001228|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |11|05|    |KÓSÁNÉ            KOVÁCS MAGDA      |00010713|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |11|06|    |MARÓTI LÁSZLÓ     FERENC            |00004253|MDF                                                                       
1|01|BUDAPEST  |11|07|DR. |NAGY GÁBOR TAMÁS                    |00002291|FIDESZ                                                                    
1|01|BUDAPEST  |11|08|DR. |RÁKÓCZI ISTVÁN                      |00000901|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |11|09|    |TAMÁS JÓZSEF                        |00001564|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |12|01|DR. |HOMOKI JÁNOS                        |00001865|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |12|02|DR. |INOTAY FERENC                       |00001779|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |12|03|    |KMETTY ÁGOSTON                      |00000662|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |12|04|DR. |KÖKÉNY MIHÁLY                       |00008220|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |12|05|DR. |SZABÓ IVÁN                          |00005391|MDF                                                                       
1|01|BUDAPEST  |12|06|    |TIRTS TAMÁS                         |00002095|FIDESZ                                                                    
1|01|BUDAPEST  |12|07|DR. |TÖLGYESSY PÉTER                     |00005774|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |13|01|    |CSINTALAN SÁNDOR                    |00011632|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |13|02|DR. |DONCSEV TOSO                        |00002234|FIDESZ                                                                    
1|01|BUDAPEST  |13|03|DR. |KISS GYULA                          |00004153|MDF                                                                       
1|01|BUDAPEST  |13|05|DR. |SZOLNOKI ANDREA                     |00007175|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |13|06|    |TÁNCOS IMRE                         |00001187|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |13|07|DR. |ZACSEK GYULA                        |00002058|PIACPÁRT                                                                  
1|01|BUDAPEST  |14|01|DR. |BODOR PÉTER                         |00001229|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |14|02|    |DOBOS LÁSZLÓ                        |00005143|MDF                                                                       
1|01|BUDAPEST  |14|03|    |FAZEKAS ISTVÁN                      |00000458|NEMZETI DEMOKRATÁK                                                        
1|01|BUDAPEST  |14|04|    |FÖLDES ANDRÁS                       |00006979|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |14|05|DR. |KECSKÉDI LÁSZLÓ                     |00001748|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
