1|01|BUDAPEST                 |07|DR. |GÁGYOR PÁL                                                  |00001213|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |07|DR. |BOGNÁR PÉTER                                                |00002017|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |07|DR. |SZALMA BÉLA                                                 |00001492|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |07|DR. |SCHAMSCHULA GYÖRGY                                          |00010168|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |07|    |TAMÁS GÁSPÁR      MIKLÓS                                    |00014152|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |07|    |SZABÓ LAJOS MÁTYÁS                                          |00004427|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |08|DR. |DEME RUDOLF                                                 |00002075|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |08|DR. |PECZE FERENC                                                |00000915|MAGYAR NÉPPÁRT                
1|01|BUDAPEST                 |08|    |PÁL LÁSZLÓ                                                  |00003512|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |08|DR. |KÁLMÁN JÁNOS                                                |00001809|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |08|    |SZÉKHELYI JÓZSEF                                            |00009486|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |08|    |KATONA KÁLMÁN                                               |00009897|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |08|DR. |MOLNÁR PÉTER                                                |00004233|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |08|DR. |PETRASOVITS ANNA                                            |00001866|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |09|    |MIKOLAI GÉZA                                                |00001850|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |09|DR. |HÁHN GYÖRGY                                                 |00001099|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |09|DR. |GÁSPÁR  MIKLÓS                                              |00001887|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |09|DR. |DEMSZKY GÁBOR                                               |00009804|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |09|    |FILLÓ PÁL                                                   |00004443|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |09|    |ERHARDT CSABA                                               |00006754|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |09|    |KERÉNYI GYÖRGY                                              |00002593|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |09|DR. |AGGÓD JÓZSEFNÉ                                              |00001270|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |10|DR. |SOMOGYI TAMÁS                                               |00007477|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |10|    |RAJ TAMÁS                                                   |00008696|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |10|DR. |FEKETE TAMÁS                                                |00001217|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |10|    |SZABÓ PÉTER                                                 |00002338|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |10|DR. |SZABÓ ZOLTÁN                                                |00004403|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |10|    |ROCKENBAUER ZOLTÁN                                          |00004253|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |11|    |MARÓTI LÁSZLÓ     FERENC                                    |00007923|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |11|    |HARASZTI MIKLÓS                                             |00009745|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |11|DR. |SEBES JÓZSEF                                                |00001078|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |11|    |BÖLCSKEI JÁNOS                                              |00001452|MO.-I SZOCIÁLDEMOKRATA PÁRT   
1|01|BUDAPEST                 |11|    |BARÁTH GERGELY                                              |00003162|FIATAL DEMOKRATÁK SZÖVETSÉGE  
